Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
David de Gea\7ba6d84e,es ESP,GK,31-178,36.0,872,534,338,52,0,54,24,0,0,0,0,0,457,32,383,41,674,0,0,118,613,2,24,17,3,Matches
Bruno Fernandes\507c7bdf,pt POR,MF,27-238,32.6,1890,1720,170,38,14,323,93,74,63,21,27,0,1270,188,432,125,1685,39,19,8,1421,18,45,94,52,Matches
Harry Maguire\d8931174,eng ENG,DF,29-060,26.7,1426,1379,47,44,0,183,66,1,0,0,0,0,1031,124,271,205,1076,85,2,7,1244,5,30,14,9,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-088,26.3,853,823,30,2,2,166,9,12,0,0,0,0,664,117,72,113,659,34,6,20,694,3,9,34,28,Matches
Scott McTominay\d93c2511,sct SCO,MF,25-147,24.5,1139,1108,31,28,1,188,36,8,0,0,0,0,907,92,140,58,993,40,1,2,973,5,13,30,16,Matches
Victor Lindelöf\f5deef4c,se SWE,DF,27-291,24.2,1197,1170,27,23,4,143,33,0,0,0,0,0,953,106,138,158,943,58,4,6,1076,3,8,15,12,Matches
Fred\b853e0ad,br BRA,MF,29-060,21.2,1224,1192,32,29,3,196,41,2,0,0,0,0,958,139,127,802,368,31,3,8,1042,4,16,34,32,Matches
Jadon Sancho\dbf053da,eng ENG,FWMF,22-040,21.1,982,953,29,2,1,168,7,32,8,0,1,1,821,95,66,103,826,29,18,4,810,3,5,63,19,Matches
Aaron Wan-Bissaka\9e525177,eng ENG,DF,24-159,19.9,1113,933,180,11,0,140,20,22,0,0,0,0,784,230,99,70,838,24,169,0,929,2,10,51,36,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,29-009,19.3,1037,1000,37,34,0,100,39,0,0,0,0,0,796,81,160,407,538,50,3,1,930,1,14,12,7,Matches
Luke Shaw\9c94165b,eng ENG,DF,26-296,17.8,1172,951,221,14,1,146,43,44,54,16,29,2,702,250,220,903,58,36,153,5,938,6,8,36,45,Matches
Diogo Dalot\d9565625,pt POR,DF,23-047,18.1,1055,887,168,10,3,127,42,39,2,0,2,0,607,189,259,89,752,36,156,2,852,2,15,39,22,Matches
Alex Telles\e73c9bb2,br BRA,DF,29-140,16.4,1049,863,186,21,0,131,28,56,42,19,19,2,621,183,245,817,60,30,123,3,785,5,11,41,29,Matches
Paul Pogba\867239d3,fr FRA,MFFW,29-050,15.0,879,865,14,12,5,184,47,15,1,0,0,0,655,89,135,94,737,18,0,7,738,3,17,30,20,Matches
Mason Greenwood\58eee997,eng ENG,FWMF,20-215,14.1,504,487,17,2,3,97,31,25,14,10,3,1,381,50,73,380,112,5,0,2,397,2,6,21,17,Matches
Nemanja Matić\eb7822d7,rs SRB,MF,33-276,14.9,977,948,29,24,4,159,26,5,0,0,0,0,771,93,113,766,148,31,5,4,851,3,4,30,19,Matches
Marcus Rashford\a1d5bd30,eng ENG,FWMF,24-185,13.7,422,413,9,2,0,77,3,25,0,0,0,0,309,64,49,39,346,17,3,4,297,3,9,22,22,Matches
Anthony Elanga\2fba6108,se SWE,FW,20-007,12.0,405,394,11,0,1,94,6,13,0,0,0,0,310,50,45,72,292,14,11,1,326,1,3,23,16,Matches
Edinson Cavani\527f063d,uy URU,FW,35-079,7.0,186,182,4,0,0,28,8,3,0,0,0,0,134,30,22,40,121,8,1,14,147,0,3,7,2,Matches
Eric Bailly\a1232f4e,ci CIV,DF,28-022,2.4,80,76,4,4,0,10,2,0,0,0,0,0,56,6,18,16,52,7,0,1,64,0,1,2,2,Matches
Jesse Lingard\810e3c74,eng ENG,FWMF,29-140,4.1,155,152,3,0,0,14,1,8,0,0,0,0,129,16,10,15,135,3,1,1,132,0,2,3,1,Matches
Anthony Martial\8b788c01,fr FRA,FW,26-150,2.4,85,84,1,0,1,16,1,5,0,0,0,0,70,8,7,7,74,0,0,2,66,0,0,6,4,Matches
Phil Jones\def899bd,eng ENG,DF,30-072,1.8,79,79,0,0,0,7,0,0,0,0,0,0,65,7,7,10,62,6,0,0,71,0,1,0,2,Matches
Daniel James\c931d9f9,wls WAL,FW,24-175,1.4,32,32,0,0,0,6,1,5,0,0,0,0,27,2,3,3,28,1,0,0,22,0,1,0,1,Matches
Juan Mata\29733c72,es ESP,MF,34-006,1.5,138,136,2,0,0,15,4,3,1,1,0,0,117,6,15,122,11,3,1,1,122,1,0,2,1,Matches
Donny van de Beek\50dc94ce,nl NED,MF,25-016,0.8,32,32,0,0,1,8,0,0,0,0,0,0,27,3,2,4,26,0,0,0,25,1,0,2,1,Matches
Hannibal Mejbri\ca22ccb0,tn TUN,FW,19-103,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
Alejandro Garnacho\7aa8adfe,es ESP,FW,17-307,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,36.0,18986,17396,1590,352,44,2780,611,397,185,67,81,6,13625,2250,3111,5459,11617,605,679,221,15568,73,255,628,418,
Opponent Total,,,27.7,36.0,17683,16081,1602,423,38,2199,501,396,197,100,62,6,12347,2023,3313,5282,10506,659,627,237,14200,59,294,512,394,
